ticker,company_name,exchange,sector,industry,active,quote_provider_symbol,history_provider_symbol,asset_type,source,source_effective_date,verified_at
QCOM,QUALCOMM INC,NASDAQ,Information Technology,,true,QCOM,QCOM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
RTX,RTX CORP,NYSE,Industrials,,true,RTX,RTX,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
SBUX,STARBUCKS CORP,NASDAQ,Consumer Discretionary,,true,SBUX,SBUX,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
SCHW,CHARLES SCHWAB CORP,NYSE,Financials,,true,SCHW,SCHW,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
SO,SOUTHERN,NYSE,Utilities,,true,SO,SO,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
SPG,SIMON PROPERTY GROUP REIT INC,NYSE,Real Estate,,true,SPG,SPG,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
T,AT&T INC,NYSE,Communication,,true,T,T,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
TMO,THERMO FISHER SCIENTIFIC INC,NYSE,Health Care,,true,TMO,TMO,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
TMUS,T MOBILE US INC,NASDAQ,Communication,,true,TMUS,TMUS,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
TSLA,TESLA INC,NASDAQ,Consumer Discretionary,,true,TSLA,TSLA,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
TXN,TEXAS INSTRUMENT INC,NASDAQ,Information Technology,,true,TXN,TXN,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
UBER,UBER TECHNOLOGIES INC,NYSE,Industrials,,true,UBER,UBER,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
UNH,UNITEDHEALTH GROUP INC,NYSE,Health Care,,true,UNH,UNH,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
UNP,UNION PACIFIC CORP,NYSE,Industrials,,true,UNP,UNP,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
UPS,UNITED PARCEL SERVICE INC CLASS B,NYSE,Industrials,,true,UPS,UPS,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
USB,US BANCORP,NYSE,Financials,,true,USB,USB,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
V,VISA INC CLASS A,NYSE,Financials,,true,V,V,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
VZ,VERIZON COMMUNICATIONS INC,NYSE,Communication,,true,VZ,VZ,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
WFC,WELLS FARGO,NYSE,Financials,,true,WFC,WFC,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
WMT,WALMART INC,NASDAQ,Consumer Staples,,true,WMT,WMT,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
XOM,EXXONMOBIL HOLDINGS CORP,NYSE,Energy,,true,XOM,XOM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
